lemma_de,article,gender,plural,meaning_ja,review_status,notes
Kuchen,,,,,needs_enrichment,
Kugelschreiber,,,,,needs_enrichment,
Kuh,,,,,needs_enrichment,
Kühlschrank,,,,,needs_enrichment,
Kultur,,,,,needs_enrichment,
Kunde,,,,,needs_enrichment,
Kunst,,,,,needs_enrichment,
Künstler,,,,,needs_enrichment,
Kurs,,,,,needs_enrichment,
Kuss,,,,,needs_enrichment,
Laden,,,,,needs_enrichment,
Lampe,,,,,needs_enrichment,
Land,,,,,needs_enrichment,
Landschaft,,,,,needs_enrichment,
Landwirtschaft,,,,,needs_enrichment,
Lärm,,,,,needs_enrichment,
Laune,,,,,needs_enrichment,
Leben,,,,,needs_enrichment,
Lebensmittel,,,,,needs_enrichment,
Lehrer,,,,,needs_enrichment,
Leute,,,,,needs_enrichment,
Licht,,,,,needs_enrichment,
Liebe,,,,,needs_enrichment,
Lied,,,,,needs_enrichment,
Linie,,,,,needs_enrichment,
Liste,,,,,needs_enrichment,
Liter,,,,,needs_enrichment,
Literatur,,,,,needs_enrichment,
Lkw,,,,,needs_enrichment,
Loch,,,,,needs_enrichment,
Löffel,,,,,needs_enrichment,
Lohn,,,,,needs_enrichment,
Lösung,,,,,needs_enrichment,
Luft,,,,,needs_enrichment,
Luftpost,,,,,needs_enrichment,
Lust,,,,,needs_enrichment,
Macht,,,,,needs_enrichment,
Mädchen,,,,,needs_enrichment,
Magen,,,,,needs_enrichment,
Maler,,,,,needs_enrichment,
Mangel,,,,,needs_enrichment,
Mann,,,,,needs_enrichment,
Mannschaft,,,,,needs_enrichment,
Mantel,,,,,needs_enrichment,
Märchen,,,,,needs_enrichment,
Mark,,,,,needs_enrichment,
Markt,,,,,needs_enrichment,
Marktplatz,,,,,needs_enrichment,
Marmelade,,,,,needs_enrichment,
Maschine,,,,,needs_enrichment,
Mathematik,,,,,needs_enrichment,
Mauer,,,,,needs_enrichment,
Maus,,,,,needs_enrichment,
Medikament,,,,,needs_enrichment,
Medizin,,,,,needs_enrichment,
Meer,,,,,needs_enrichment,
Meinung,,,,,needs_enrichment,
Meister,,,,,needs_enrichment,
Mensa,,,,,needs_enrichment,
Mensch,,,,,needs_enrichment,
Menü,,,,,needs_enrichment,
Messer,,,,,needs_enrichment,
Meter,,,,,needs_enrichment,
Miete,,,,,needs_enrichment,
Milch,,,,,needs_enrichment,
Million,,,,,needs_enrichment,
Minister,,,,,needs_enrichment,
Minute,,,,,needs_enrichment,
Mittag,,,,,needs_enrichment,
Mitte,,,,,needs_enrichment,
Mittel,,,,,needs_enrichment,
Mitternacht,,,,,needs_enrichment,
Möbel,,,,,needs_enrichment,
Mode,,,,,needs_enrichment,
Moment,,,,,needs_enrichment,
Monat,,,,,needs_enrichment,
Mond,,,,,needs_enrichment,
Motorrad,,,,,needs_enrichment,
Mühe,,,,,needs_enrichment,
Müll,,,,,needs_enrichment,
Mund,,,,,needs_enrichment,
Münze,,,,,needs_enrichment,
Museum,,,,,needs_enrichment,
Musik,,,,,needs_enrichment,
Musiker,,,,,needs_enrichment,
Mut,,,,,needs_enrichment,
Mutter,,,,,needs_enrichment,
Nachbar,,,,,needs_enrichment,
Nachmittag,,,,,needs_enrichment,
